#                 x                   p
     0.859296482412       101874.991362
      0.86432160804       101874.951951
     0.869346733668       101874.923868
     0.874371859296       101874.936901
     0.879396984925       101874.941923
     0.884422110553       101874.912564
     0.889447236181       101874.848464
     0.894472361809       101874.825574
     0.899497487437       101874.829286
     0.904522613065       101874.749349
     0.909547738693       101874.678015
     0.914572864322        101874.62505
      0.91959798995       101874.543513
     0.924623115578       101874.469943
     0.929648241206       101874.386096
     0.934673366834        101874.28607
     0.939698492462       101874.151037
      0.94472361809       101874.035506
     0.949748743719       101873.953435
     0.954773869347       101873.863341
     0.959798994975       101873.771549
     0.964824120603       101873.714504
     0.969849246231       101873.689918
     0.974874371859        101873.63064
     0.979899497487       101873.572841
     0.984924623116       101873.531317
     0.989949748744       101873.472875
